0	0
0.02	-0.00068705
0.04	-0.0014954
0.06	-0.0025576
0.08	-0.0038869
0.1	-0.002524
0.12	-0.00077676
0.14	-0.00086952
0.16	-0.00086952
0.18	-0.0021274
0.2	-0.0041244
0.22	-0.0028828
0.24	-0.0020285
0.26	-0.0023517
0.28	-0.001315
0.3	-0.00041794
0.32	-0.0010693
0.34	-0.00358
0.36	-0.0028063
0.38	-0.0013527
0.4	-0.00062793
0.42	-0.00099898
0.44	-0.0036565
0.46	-0.0040357
0.48	-0.0028705
0.5	0.00098369
0.52	0.0024302
0.54	-0.0024241
0.56	-0.0045484
0.58	-0.0023344
0.6	7.1356e-05
0.62	0.0016473
0.64	0.0009052
0.66	-0.0042946
0.68	-0.0072457
0.7	-0.0027339
0.72	0.0026952
0.74	0.00046585
0.76	-0.0031488
0.78	-0.0043364
0.8	-0.0062997
0.82	-0.0039093
0.84	-0.001897
0.86	-0.0031397
0.88	-0.0058308
0.9	-0.0038644
0.92	0.0030989
0.94	-0.0018573
0.96	-0.0056177
0.98	-0.004419
1	-0.0088502
1.02	-0.0026993
1.04	0.0033394
1.06	-0.0026555
1.08	-0.0091233
1.1	-0.0043863
1.12	0.00088787
1.14	-0.0062253
1.16	-0.0080795
1.18	-0.0060398
1.2	-0.0060234
1.22	-0.0008002
1.24	-0.00066055
1.26	-0.0020754
1.28	-0.0044975
1.3	-0.0072446
1.32	-0.001896
1.34	-0.00045158
1.36	0.0038481
1.38	0.0039072
1.4	-0.002735
1.42	-0.0024577
1.44	0.0058175
1.46	0.013012
1.48	0.0073558
1.5	0.00027217
1.52	-0.0060092
1.54	-0.0035209
1.56	0.00068705
1.58	-0.007629
1.6	-0.015078
1.62	-0.012337
1.64	-0.0074118
1.66	-0.0081957
1.68	-0.01158
1.7	-0.011126
1.72	-0.0098705
1.74	-0.0082773
1.76	-0.0017645
1.78	0.0047166
1.8	0.003629
1.82	-0.0012915
1.84	0.0029409
1.86	0.0056636
1.88	-0.0015423
1.9	-0.010708
1.92	-0.013857
1.94	-0.0090499
1.96	-0.0068369
1.98	-0.0083955
2	-0.011154
2.02	-0.0088848
2.04	0.0023394
2.06	0.0088654
2.08	0.005524
2.1	0.0017421
2.12	0.0051376
2.14	0.011211
2.16	0.012088
2.18	0.010915
2.2	0.0099949
2.22	0.0055525
2.24	-0.0005474
2.26	-0.0071611
2.28	-0.013217
2.3	-0.018568
2.32	-0.019246
2.34	-0.012486
2.36	-0.0069949
2.38	0.0010306
2.4	0.0079021
2.42	0.0033853
2.44	-0.00033333
2.46	0.0033721
2.48	0.0047564
2.5	0.00096024
2.52	-0.0090989
2.54	-0.016793
2.56	-0.011672
2.58	-0.0014332
2.6	-0.0017156
2.62	-0.010181
2.64	-0.012324
2.66	-0.014584
2.68	-0.010851
2.7	-0.0068869
2.72	-0.010116
2.74	-0.010534
2.76	-0.0082314
2.78	0.0016422
2.8	0.01524
2.82	0.015621
2.84	0.0031193
2.86	0.00054434
2.88	0.0033792
2.9	0.00384
2.92	0.0015036
2.94	0.00031498
2.96	0.0045484
2.98	0.0061611
3	0.0032294
3.02	0.00051988
3.04	9.2762e-05
3.06	-0.0063394
3.08	-0.0065545
3.1	-0.001632
3.12	-0.0037513
3.14	-0.011891
3.16	-0.0071305
3.18	0.0010968
3.2	-0.0062773
3.22	-0.012285
3.24	-0.0071009
3.26	0.0033038
3.28	0.0055617
3.3	-0.0016932
3.32	-0.0031713
3.34	0.0043823
3.36	0.0032538
3.38	0.0020428
3.4	-0.0064811
3.42	-0.021867
3.44	-0.016455
3.46	-0.0035331
3.48	-0.00066769
3.5	-0.0002579
3.52	-0.005051
3.54	-0.010248
3.56	0.0015138
3.58	0.015149
3.6	0.012355
3.62	-0.00085219
3.64	-0.0061448
3.66	-0.0019205
3.68	0.0020846
3.7	0.0035596
3.72	-0.0039623
3.74	-0.0034669
3.76	0.00086137
3.78	-0.0063384
3.8	-0.0055392
3.82	0.0080102
3.84	0.013405
3.86	0.004001
3.88	-0.0075668
3.9	-0.007843
3.92	0.0073731
3.94	0.015288
3.96	-0.00095515
3.98	-0.021562
4	-0.023219
4.02	-0.0016677
4.04	0.024742
4.06	0.023661
4.08	-0.0011682
4.1	-0.017485
4.12	-0.0080214
4.14	0.014097
4.16	0.019879
4.18	-0.0027676
4.2	-0.016304
4.22	-0.0037696
4.24	0.0029256
4.26	-0.0056157
4.28	-0.011914
4.3	-0.01012
4.32	-0.005841
4.34	-0.0024924
4.36	0.0024506
4.38	-0.0027819
4.4	-0.00086442
4.42	0.0071458
4.44	0.028972
4.46	0.056502
4.48	0.075614
4.5	0.031328
4.52	-0.064044
4.54	-0.095717
4.56	-0.08585
4.58	-0.07579
4.6	-0.051094
4.62	-0.025075
4.64	0.027301
4.66	0.12161
4.68	0.15521
4.7	0.074045
4.72	-0.015117
4.74	-0.092781
4.76	-0.15821
4.78	-0.17341
4.8	-0.077923
4.82	0.10324
4.84	0.14522
4.86	0.030904
4.88	-0.079451
4.9	-0.083636
4.92	-0.034794
4.94	0.023413
4.96	0.10942
4.98	0.16408
5	0.11072
5.02	0.015357
5.04	-0.096801
5.06	-0.16494
5.08	-0.15794
5.1	-0.053686
5.12	0.096886
5.14	0.12129
5.16	0.0036606
5.18	-0.083441
5.2	-0.060582
5.22	0.01177
5.24	0.072523
5.26	0.05365
5.28	-0.0091692
5.3	-0.019688
5.32	-0.063193
5.34	-0.063981
5.36	0.084366
5.38	0.15174
5.4	0.076734
5.42	-0.044516
5.44	-0.10439
5.46	-0.11373
